coin_name,current_price_usd,24h_high_usd,24h_low_usd,24h_trade_volume_usd,market_cap_usd,market_change_percentage_24h,market_rank,circulating_supply,total_supply,last_updated,retrieval_time,rolling_average,predicted_price,ds
Litecoin,64.37,65.1,63.64,415563833,4738108482,-0.03107,16,73562339.48,84000000,8/20/2023 16:15:35,8/20/2023 16:16:30,,,
Ethereum,1668.54,1692.84,1663.28,7998056991,200656731195,-0.66251,2,120211597,120211597,8/20/2023 16:16:08,8/20/2023 16:16:56,,,
Ripple,0.538013,0.551415,0.515148,1330373756,28458205284,3.77147,5,52841868447,99988501123,8/20/2023 16:16:00,8/20/2023 16:16:58,,,
Litecoin,64.38,65.1,63.64,415630121,4738108482,-0.03107,16,73562339.48,84000000,8/20/2023 16:16:45,8/20/2023 16:17:23,,,
Litecoin,64.38,65.1,63.64,415630121,4738108482,-0.03107,16,73562339.48,84000000,8/20/2023 16:16:45,8/20/2023 16:17:47,,,
Ethereum,1669.2,1692.84,1663.28,8005712917,200656731195,-0.66251,2,120211597,120211597,8/20/2023 16:18:10,8/20/2023 16:19:30,,,
Ripple,0.537705,0.551415,0.515148,1329333202,28413361070,3.60795,5,52841868447,99988501123,8/20/2023 16:19:57,8/20/2023 16:20:26,,,
Litecoin,64.4,65.1,63.64,415563557,4738108482,-0.03107,16,73562339.48,84000000,8/20/2023 16:19:50,8/20/2023 16:20:49,,,
Bitcoin,26073,26248,26024,5746016997,507286779880,-0.36628,1,19463025,21000000,8/20/2023 16:20:59,8/20/2023 16:21:13,,,
Ripple,0.537795,0.551415,0.515148,1329062339,28413361070,3.60795,5,52841868447,99988501123,8/20/2023 16:22:01,8/20/2023 16:22:09,,,
Litecoin,64.42,65.1,63.64,415158884,4737112442,-0.05208,16,73562339.48,84000000,8/20/2023 16:21:52,8/20/2023 16:22:34,,,
Ripple,0.537795,0.551415,0.515148,1329062339,28413361070,3.60795,5,52841868447,99988501123,8/20/2023 16:22:01,8/20/2023 16:22:36,,,
Bitcoin,26075,26248,26024,6939965951,507286779880,-0.36628,1,19463025,21000000,8/20/2023 16:22:01,8/20/2023 16:22:56,,,
Ripple,0.537536,0.551415,0.515148,1328182397,28413361070,3.60795,5,52841868447,99988501123,8/20/2023 16:23:03,8/20/2023 16:23:27,,,
Litecoin,64.43,65.1,63.64,414681850,4737112442,-0.05208,16,73562339.48,84000000,8/20/2023 16:22:54,8/20/2023 16:24:21,,,
Ripple,0.537524,0.551415,0.515148,1324530699,28413361070,3.60795,5,52841868447,99988501123,8/20/2023 16:24:04,8/20/2023 16:25:10,,,
Bitcoin,26056,26248,26024,9105440061,507286779880,-0.36628,1,19463025,21000000,8/20/2023 16:24:54,8/20/2023 16:25:33,,,
Ethereum,1668.5,1692.84,1663.28,7930659600,200628951972,-0.78224,2,120211597,120211597,8/20/2023 16:25:13,8/20/2023 16:25:34,,,
Litecoin,64.4,65.1,63.64,415061289,4737112442,-0.05208,16,73562339.48,84000000,8/20/2023 16:26:00,8/20/2023 16:26:02,,,
Bitcoin,26060,26248,26024,8978108010,507286779880,-0.36628,1,19463025,21000000,8/20/2023 16:25:57,8/20/2023 16:26:30,,,
Litecoin,64.4,65.1,63.64,415061289,4737112442,-0.05208,16,73562339.48,84000000,8/20/2023 16:26:00,8/20/2023 16:26:57,,,
Litecoin,64.4,65.1,63.64,415061289,4737112442,-0.05208,16,73562339.48,84000000,8/20/2023 16:26:00,8/20/2023 16:27:22,,,
Ethereum,1668.92,1692.84,1663.28,7928179194,200628951972,-0.78224,2,120211597,120211597,8/20/2023 16:28:18,8/20/2023 16:28:34,,,
Litecoin,64.42,65.1,63.64,415272455,4737112442,-0.05208,16,73562339.48,84000000,8/20/2023 16:27:54,8/20/2023 16:28:35,,,
